dataset,subject,acc
cho2017,1,66.5
cho2017,2,57.0
cho2017,3,82.5
cho2017,4,76.5
cho2017,5,53.0
cho2017,6,61.5
cho2017,7,57.9167
cho2017,8,55.0
cho2017,9,70.8333
cho2017,10,87.0
cho2017,11,63.0
cho2017,12,72.0
cho2017,13,51.0
cho2017,14,90.0
cho2017,15,76.5
cho2017,16,61.5
cho2017,17,51.0
cho2017,18,64.5
cho2017,19,67.0
cho2017,20,64.0
cho2017,21,75.5
cho2017,22,74.0
cho2017,23,87.0
cho2017,24,74.5
cho2017,25,80.5
cho2017,26,62.5
cho2017,27,57.5
cho2017,28,48.5
cho2017,29,57.0
cho2017,30,59.5
cho2017,31,72.0
cho2017,32,50.0
cho2017,33,69.0
cho2017,34,54.5
cho2017,35,57.0
cho2017,36,75.0
cho2017,37,50.0
cho2017,38,58.5
cho2017,39,60.5
cho2017,40,52.0
cho2017,41,92.0
cho2017,42,71.0
cho2017,43,97.0
cho2017,44,64.0
cho2017,45,56.5
cho2017,46,73.75
cho2017,47,74.0
cho2017,48,84.0
cho2017,49,73.5
cho2017,50,57.0
cho2017,51,64.5
cho2017,52,67.5
lee2019,1,79.5
lee2019,2,69.0
lee2019,3,89.5
lee2019,4,51.5
lee2019,5,76.0
lee2019,6,59.0
lee2019,7,65.0
lee2019,8,74.5
lee2019,9,83.5
lee2019,10,71.0
lee2019,11,51.5
lee2019,12,71.5
lee2019,13,65.0
lee2019,14,72.5
lee2019,15,53.5
lee2019,16,57.0
lee2019,17,64.0
lee2019,18,83.0
lee2019,19,77.0
lee2019,20,64.0
lee2019,21,92.5
lee2019,22,70.5
lee2019,23,71.5
lee2019,24,57.0
lee2019,25,60.5
lee2019,26,56.5
lee2019,27,50.5
lee2019,28,80.5
lee2019,29,61.0
lee2019,30,61.0
lee2019,31,63.5
lee2019,32,86.5
lee2019,33,97.0
lee2019,34,55.0
lee2019,35,50.5
lee2019,36,95.5
lee2019,37,97.5
lee2019,38,60.0
lee2019,39,81.5
lee2019,40,53.0
lee2019,41,57.0
lee2019,42,72.0
lee2019,43,64.0
lee2019,44,82.5
lee2019,45,79.5
lee2019,46,74.5
lee2019,47,72.5
lee2019,48,56.0
lee2019,49,70.5
lee2019,50,53.0
lee2019,51,62.5
lee2019,52,62.5
lee2019,53,65.0
lee2019,54,63.0
