dataset,subject,acc
cho2017,1,66.5
cho2017,2,56.0
cho2017,3,93.5
cho2017,4,91.0
cho2017,5,68.5
cho2017,6,61.5
cho2017,7,60.8333
cho2017,8,54.0
cho2017,9,70.4167
cho2017,10,85.5
cho2017,11,67.5
cho2017,12,69.0
cho2017,13,59.0
cho2017,14,88.5
cho2017,15,85.0
cho2017,16,60.5
cho2017,17,56.0
cho2017,18,74.5
cho2017,19,68.0
cho2017,20,67.0
cho2017,21,78.0
cho2017,22,73.0
cho2017,23,86.0
cho2017,24,74.5
cho2017,25,72.0
cho2017,26,74.5
cho2017,27,50.5
cho2017,28,51.0
cho2017,29,60.5
cho2017,30,66.5
cho2017,31,69.5
cho2017,32,50.5
cho2017,33,67.5
cho2017,34,52.5
cho2017,35,55.0
cho2017,36,68.0
cho2017,37,44.5
cho2017,38,70.0
cho2017,39,79.5
cho2017,40,55.0
cho2017,41,95.5
cho2017,42,68.0
cho2017,43,96.0
cho2017,44,76.5
cho2017,45,62.0
cho2017,46,82.9167
cho2017,47,74.0
cho2017,48,96.0
cho2017,49,69.5
cho2017,50,71.0
cho2017,51,70.5
cho2017,52,71.0
lee2019,1,85.5
lee2019,2,61.5
lee2019,3,87.0
lee2019,4,56.5
lee2019,5,88.0
lee2019,6,69.5
lee2019,7,69.0
lee2019,8,80.0
lee2019,9,81.0
lee2019,10,69.5
lee2019,11,54.0
lee2019,12,70.5
lee2019,13,61.0
lee2019,14,79.0
lee2019,15,61.0
lee2019,16,57.5
lee2019,17,70.0
lee2019,18,91.5
lee2019,19,82.0
lee2019,20,71.5
lee2019,21,95.0
lee2019,22,75.0
lee2019,23,79.0
lee2019,24,60.0
lee2019,25,61.0
lee2019,26,61.5
lee2019,27,54.0
lee2019,28,87.5
lee2019,29,65.0
lee2019,30,69.5
lee2019,31,66.5
lee2019,32,91.5
lee2019,33,95.0
lee2019,34,46.0
lee2019,35,50.5
lee2019,36,94.5
lee2019,37,96.5
lee2019,38,60.5
lee2019,39,85.5
lee2019,40,62.0
lee2019,41,56.5
lee2019,42,72.5
lee2019,43,68.5
lee2019,44,92.0
lee2019,45,77.5
lee2019,46,75.5
lee2019,47,74.0
lee2019,48,54.5
lee2019,49,75.0
lee2019,50,53.5
lee2019,51,67.0
lee2019,52,71.5
lee2019,53,64.0
lee2019,54,64.0
