dataset,subject,acc
cho2017,1,68.0
cho2017,2,58.0
cho2017,3,92.0
cho2017,4,89.0
cho2017,5,69.5
cho2017,6,58.5
cho2017,7,62.9167
cho2017,8,58.0
cho2017,9,73.3333
cho2017,10,85.5
cho2017,11,74.5
cho2017,12,73.0
cho2017,13,55.0
cho2017,14,91.5
cho2017,15,80.5
cho2017,16,67.5
cho2017,17,53.5
cho2017,18,72.5
cho2017,19,73.0
cho2017,20,70.0
cho2017,21,83.0
cho2017,22,70.5
cho2017,23,87.5
cho2017,24,71.0
cho2017,25,83.5
cho2017,26,73.0
cho2017,27,53.5
cho2017,28,48.0
cho2017,29,54.5
cho2017,30,72.0
cho2017,31,69.5
cho2017,32,52.5
cho2017,33,66.0
cho2017,34,53.5
cho2017,35,54.5
cho2017,36,73.5
cho2017,37,54.0
cho2017,38,71.0
cho2017,39,76.0
cho2017,40,50.0
cho2017,41,96.0
cho2017,42,70.0
cho2017,43,96.0
cho2017,44,79.5
cho2017,45,67.5
cho2017,46,79.5833
cho2017,47,78.0
cho2017,48,94.5
cho2017,49,73.0
cho2017,50,68.5
cho2017,51,66.5
cho2017,52,82.5
lee2019,1,90.0
lee2019,2,80.0
lee2019,3,88.0
lee2019,4,61.5
lee2019,5,94.5
lee2019,6,70.0
lee2019,7,60.5
lee2019,8,76.0
lee2019,9,82.0
lee2019,10,67.5
lee2019,11,52.0
lee2019,12,66.5
lee2019,13,62.5
lee2019,14,81.5
lee2019,15,59.5
lee2019,16,60.5
lee2019,17,69.0
lee2019,18,87.0
lee2019,19,82.0
lee2019,20,77.5
lee2019,21,94.0
lee2019,22,78.0
lee2019,23,82.0
lee2019,24,56.0
lee2019,25,57.5
lee2019,26,61.5
lee2019,27,53.5
lee2019,28,89.5
lee2019,29,65.0
lee2019,30,73.5
lee2019,31,68.0
lee2019,32,93.0
lee2019,33,94.0
lee2019,34,48.0
lee2019,35,52.0
lee2019,36,94.0
lee2019,37,97.0
lee2019,38,58.0
lee2019,39,87.0
lee2019,40,61.0
lee2019,41,59.5
lee2019,42,69.5
lee2019,43,75.5
lee2019,44,92.5
lee2019,45,77.0
lee2019,46,76.5
lee2019,47,79.0
lee2019,48,58.0
lee2019,49,73.5
lee2019,50,55.0
lee2019,51,63.0
lee2019,52,65.5
lee2019,53,61.0
lee2019,54,64.0
